Post Total Reach,Post Total Impressions,Post Organic Impressions,Engaged Users,Matched Audience Targeting Consumers on Post,Matched Audience Targeting Consumptions on Post,Negative Feedback from Users,Negative Feedback,Post Impressions by people who have liked your Page,Post reach by people who like your Page,People who have liked your Page and engaged with your post,Organic views to 95%,Organic views to 95%.1,Organic Video Views,Organic Video Views.1,Average time video viewed,Video length
2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
1556,3125,3125,148,98,158,0,0,2119,1001,108,72,93,389,500,5035,24355
2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1095,1992,1992,245,223,418,0,0,1135,583,184,55,66,474,682,19921,158706
3975,7985,7985,630,575,913,1,1,2663,1330,310,377,445,1048,1472,6365,19317
3,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0
2,2,2,1,1,1,0,0,2,2,1,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
14,14,14,0,0,0,0,0,3,3,0,0,0,0,0,0,0
2542,5672,5672,342,263,364,0,0,3227,1408,218,133,158,138,163,2825,1600
1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2648,4264,4264,162,107,149,0,0,2718,1483,130,36,41,506,589,4825,83915
1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1036,1483,1483,70,58,73,0,0,1337,923,68,0,0,133,149,0,80316
1980,2986,2986,238,194,277,0,0,2319,1493,205,58,64,601,659,13349,75973
1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3887,9231,9231,348,296,490,0,0,4572,1700,243,78,84,721,885,8296,75764
2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2294,3715,3715,242,191,302,0,0,2238,1368,183,48,55,550,672,15184,132073
2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
6,6,6,0,0,0,0,0,4,4,0,0,0,0,0,0,0
2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
5,5,5,0,0,0,0,0,4,4,0,0,0,0,0,0,0
2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
2,2,2,0,0,0,0,0,2,2,0,5,5,68,0,0,0
3,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0
2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
102,109,109,0,0,0,0,0,17,16,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,40,40,159,0,0,0
5,5,5,0,0,0,0,0,3,3,0,0,0,0,0,0,0
3690,5421,5425,375,233,315,0,0,3475,2313,232,155,161,1305,1415,6487,33667
2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,59,61,188,0,0,0
338,379,379,94,72,82,0,0,345,303,93,0,0,241,255,0,20919
2,3,3,0,0,0,0,0,3,2,0,0,0,0,0,0,0
3140,4761,4761,287,158,242,0,0,3100,1895,190,298,350,654,806,4531,9310
3350,4751,4751,286,82,101,0,0,3540,2392,223,118,133,118,133,3021,960
2366,3501,3501,264,185,300,0,0,2889,1920,224,338,354,681,763,6015,11375
3795,5763,5763,296,117,165,0,0,4164,2670,237,0,0,0,0,0,0
3192,4786,4786,237,54,79,0,0,3551,2294,195,0,0,0,0,0,0
2659,4347,4347,191,76,97,1,1,3341,2001,155,0,0,0,0,0,0
5700,10705,10705,1124,1038,2062,1,1,5757,2528,778,0,0,0,0,0,0
8,9,9,0,0,0,0,0,5,4,0,0,0,0,0,0,0
3,4,4,0,0,0,0,0,4,3,0,0,0,0,0,0,0
34,34,34,0,0,0,0,0,6,6,0,0,0,0,0,0,0
3,3,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0
29,30,30,0,0,0,0,0,10,9,0,0,0,0,0,0,0
441,476,476,5,0,0,0,0,34,29,0,0,0,0,0,0,0
76,98,98,0,0,0,0,0,26,17,0,0,0,0,0,0,0
3,3,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0
13,14,14,0,0,0,0,0,4,4,0,0,0,0,0,0,0
2344,3943,3943,386,322,554,0,0,2357,1333,281,234,271,767,1057,6232,24820
49,52,52,0,0,0,0,0,14,14,0,0,0,0,0,0,0
3,3,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0
3,3,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
743,1011,1011,64,61,88,2,3,968,709,63,0,0,109,120,0,104979
13,14,14,1,1,1,0,0,8,7,1,0,0,0,0,0,0
5,5,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0
1185,1695,1695,141,127,181,0,0,1650,1145,139,0,0,188,200,0,106793
24,27,27,0,0,0,0,0,7,6,0,0,0,0,0,0,0
7,7,7,1,1,1,0,0,6,6,1,0,0,0,0,0,0
96,111,111,1,1,1,0,0,18,13,1,0,0,0,0,0,0
2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
1258,1791,1791,147,127,168,0,0,1747,1227,146,0,0,210,226,0,172521
3,4,4,0,0,0,0,0,4,3,0,0,0,0,0,0,0
5335,8676,8676,588,497,790,0,0,4203,2310,329,201,217,1448,1851,7760,44859
8,8,8,0,0,0,0,0,4,4,0,0,0,0,0,0,0
2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
373,524,524,48,46,59,0,0,490,353,48,0,0,43,48,0,69541
2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0
2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
3245,4871,4871,242,174,272,0,0,2894,1860,128,31,34,664,784,6794,103887
5343,8079,8079,368,167,233,4,4,4534,2549,208,0,0,0,0,0,0
6655,13282,13282,516,436,705,0,0,6892,2693,360,174,208,1643,2341,5288,47320
2815,4723,4723,217,140,167,0,0,3258,1867,190,0,0,0,0,0,0
7790,16793,16793,923,754,1164,0,0,8559,3081,548,1114,1244,2855,4028,4907,14255
5187,8670,8670,381,161,217,0,0,5369,2912,269,0,0,0,0,0,0
2871,4582,4582,256,162,222,0,0,3656,2228,236,0,0,0,0,0,0
5343,8771,8771,355,271,386,0,0,5459,2839,294,0,0,0,0,0,0
3714,5915,5915,401,263,392,0,0,3990,2341,322,425,473,1155,1478,5411,15323
3867,6025,6025,319,197,252,0,0,3517,2127,243,0,0,0,0,0,0
19865,31586,31586,1444,831,1121,0,0,8812,4105,674,0,0,0,0,0,0
2341,3267,3267,161,126,190,0,0,2312,1601,131,0,0,0,0,0,0
4775,7665,7665,236,150,217,0,0,4072,2267,182,0,0,0,0,0,0
6769,11994,11994,681,522,701,0,0,5587,2395,400,0,0,0,0,0,0
2851,3797,3797,246,90,105,0,0,2775,2138,193,0,0,0,0,0,0
2792,3591,3591,264,225,313,1,1,2183,1670,212,0,0,0,0,0,0
1326,1662,1662,280,247,360,0,0,1585,1269,258,0,0,0,0,0,0
7162,10714,10714,849,756,887,1,1,4181,2335,518,0,0,0,0,0,0
540,736,736,18,13,16,0,0,661,478,17,0,0,0,0,0,0
3578,5315,5315,872,822,1180,0,0,3166,1828,556,0,0,0,0,0,0
1091,1268,1268,310,73,88,0,0,1187,1024,180,0,0,0,0,0,0
1915,2508,2508,166,131,153,0,0,2014,1480,144,0,0,0,0,0,0
2132,2318,2318,321,242,331,0,0,1918,1784,270,0,0,0,0,0,0
542,610,610,33,32,35,0,0,532,473,31,0,0,0,0,0,0
9458,10602,10602,1023,608,793,0,0,4259,3684,697,0,0,0,0,0,0
2096,2328,2328,151,97,109,1,1,1558,1422,131,0,0,0,0,0,0
593,650,650,19,17,22,0,0,553,512,19,0,0,0,0,0,0
988,1012,1012,197,190,372,0,0,936,923,191,0,0,0,0,0,0
8595,11147,11147,1051,955,1202,0,0,3716,2467,509,363,382,2715,3438,8740,67546
806,868,868,70,66,99,0,0,792,753,67,0,0,175,183,0,1358464
330,369,369,15,14,19,0,0,308,275,14,0,0,0,0,0,0
6893,7879,7879,716,650,831,0,0,2943,2376,404,0,0,0,0,0,0
964,996,996,139,129,159,0,0,953,926,136,0,0,213,228,0,1806507
287,317,317,9,9,9,0,0,268,245,8,0,0,0,0,0,0
450,482,482,10,8,8,0,0,429,402,10,0,0,0,0,0,0
508,548,548,13,11,12,1,1,492,459,13,0,0,0,0,0,0
2411,2524,2524,301,174,251,1,1,2190,2104,279,0,0,0,0,0,0
415,443,443,18,16,19,0,0,396,369,16,0,0,0,0,0,0
596,635,635,65,64,83,0,0,585,548,63,0,0,0,0,0,0
870,920,920,54,44,63,0,0,806,762,49,0,0,0,0,0,0
559,587,587,19,16,21,0,0,501,478,19,0,0,0,0,0,0
285,299,299,10,10,14,0,0,262,250,10,0,0,0,0,0,0
455,479,479,30,29,39,0,0,441,418,30,0,0,0,0,0,0
849,884,884,33,25,36,0,0,658,621,32,0,0,0,0,0,0
530,554,554,21,13,18,0,0,516,485,20,0,0,0,0,0,0
400,418,418,24,23,26,0,0,378,357,24,0,0,0,0,0,0
733,775,775,76,66,81,0,0,731,686,75,0,0,117,123,0,88351
275,285,285,41,40,52,0,0,247,238,40,0,0,13,14,0,88351
404,420,420,21,19,24,0,0,378,365,19,0,0,0,0,0,0
5278,5972,5972,157,122,215,0,0,1627,1314,82,0,0,0,0,0,0
591,641,641,10,6,7,0,0,578,533,10,0,0,0,0,0,0
544,586,586,15,13,13,0,0,528,489,15,0,0,0,0,0,0
2501,2656,2656,159,64,72,0,0,2048,1912,130,0,0,0,0,0,0
2441,2623,2623,170,132,209,0,0,1663,1489,143,0,0,0,0,0,0
5554,7123,7123,403,341,408,0,0,2903,1956,230,0,0,0,0,0,0
1440,1652,1652,103,82,117,0,0,1305,1134,88,0,0,0,0,0,0
12948,18068,18068,1031,872,1321,0,0,6282,3131,576,1159,1438,3289,5109,4381,15189
7366,8992,8992,661,550,764,0,0,3345,2434,386,0,0,0,0,0,0
3648,4196,4196,275,187,225,0,0,2899,2507,218,0,0,0,0,0,0
900,1034,1034,48,41,57,0,0,892,766,47,0,0,0,0,0,0
829,1017,1017,42,27,32,0,0,848,687,40,0,0,0,0,0,0
2288,2841,2841,216,164,274,0,0,1185,928,86,0,0,0,0,0,0
2637,3279,3279,241,157,256,0,0,1548,1220,99,0,0,0,0,0,0
515,640,640,21,14,17,0,0,511,408,17,0,0,0,0,0,0
490,601,601,13,11,16,0,0,482,386,11,0,0,0,0,0,0
964,1161,1161,44,28,45,0,0,949,786,38,0,0,0,0,0,0
728,854,854,25,13,13,0,0,682,575,21,0,0,0,0,0,0
1221,1614,1614,41,31,47,0,0,1012,734,33,0,0,0,0,0,0
813,951,951,43,30,49,0,0,854,734,43,0,0,0,0,0,0
887,1130,1130,34,22,33,0,0,889,689,32,0,0,0,0,0,0
616,748,748,26,20,30,1,1,612,492,22,0,0,0,0,0,0
425,500,500,12,9,9,0,0,418,346,10,0,0,0,0,0,0
3136,4256,4256,186,143,227,0,0,2060,1382,135,0,0,0,0,0,0
1330,1836,1836,48,33,50,0,0,1044,706,41,0,0,0,0,0,0
495,582,582,10,8,9,0,0,509,423,10,0,0,0,0,0,0
511,588,588,14,11,11,0,0,508,439,14,0,0,0,0,0,0
422,501,501,5,5,6,0,0,417,349,5,0,0,0,0,0,0
446,541,541,11,10,10,0,0,467,380,10,0,0,0,0,0,0
551,642,642,14,6,6,0,0,576,490,14,0,0,0,0,0,0
689,810,810,27,16,23,0,0,738,625,25,0,0,0,0,0,0
459,540,540,19,12,14,0,0,481,406,19,0,0,0,0,0,0
243,302,302,2,1,1,0,0,243,195,2,0,0,9,9,0,10000
463,562,562,19,17,18,0,0,503,411,19,0,0,0,0,0,0
531,606,606,29,26,33,0,0,541,476,28,0,0,0,0,0,0
504,578,578,13,10,11,0,0,519,453,13,0,0,0,0,0,0
819,995,995,81,70,101,0,0,920,757,77,0,0,0,0,0,0
608,723,723,31,27,33,0,0,654,553,31,0,0,98,101,0,60693
630,756,756,27,24,31,0,0,693,581,27,0,0,0,0,0,0
369,426,426,26,20,27,0,0,376,323,23,0,0,0,0,0,0
635,741,741,21,15,19,0,0,603,509,19,0,0,0,0,0,0
2667,3320,3320,140,131,170,1,1,1616,1262,105,0,0,0,0,0,0
1520,1805,1805,64,30,36,0,0,1037,850,50,0,0,0,0,0,0
1103,1324,1324,115,97,123,1,1,1097,918,111,0,0,0,0,0,0
649,791,791,31,16,20,0,0,719,591,30,0,0,0,0,0,0
674,801,801,30,20,27,0,0,735,624,30,0,0,0,0,0,0
425,527,527,29,22,30,0,0,478,381,27,0,0,0,0,0,0
3145,4243,4243,323,302,395,0,0,2269,1670,256,0,0,0,0,0,0
1905,3280,3280,89,59,74,0,0,2389,1290,67,84,106,279,351,2947,11144
9112,12579,12579,1303,795,1326,2,2,3551,2127,540,0,0,0,0,0,0
714,880,880,59,53,60,1,1,803,647,58,0,0,0,0,0,0
1064,1356,1356,85,66,95,1,1,1040,806,75,0,0,0,0,0,0
464,590,590,14,11,15,1,1,528,408,14,0,0,0,0,0,0
645,789,789,18,14,17,1,1,727,589,17,0,0,107,109,0,14180906
531,671,671,22,16,18,0,0,612,481,20,0,0,127,0,0,0
195,214,214,7,7,7,0,0,205,186,7,0,0,0,0,0,0
820,998,998,58,42,51,0,0,932,766,58,0,0,0,0,0,0
210,226,226,9,7,8,1,1,208,194,8,0,0,0,0,0,0
581,775,775,31,23,32,0,0,698,521,30,0,0,0,0,0,0
1150,1488,1488,112,93,134,0,0,1309,996,107,0,0,0,0,0,0
1728,2325,2325,254,234,319,0,0,1772,1301,224,0,0,0,0,0,0
1535,2102,2102,105,77,116,0,0,1856,1355,95,0,0,0,0,0,0
792,1092,1092,58,31,45,0,0,1013,727,57,0,0,0,0,0,0
1305,1727,1727,138,123,178,1,1,1645,1242,136,0,0,0,0,0,0
974,1253,1253,69,58,65,0,0,1187,925,67,0,0,0,0,0,0
1384,1817,1817,108,89,162,1,1,1733,1311,105,0,0,0,0,0,0
860,1151,1151,54,50,67,2,2,1080,804,52,0,0,0,0,0,0
728,962,962,50,38,51,0,0,902,679,48,0,0,0,0,0,0
1056,1346,1347,91,75,115,0,0,1262,992,86,0,0,0,0,0,0
1048,1356,1356,87,74,104,0,0,1290,990,85,0,0,0,0,0,0
736,1044,1044,20,12,13,0,0,890,609,18,0,0,0,0,0,0
734,926,926,25,16,19,0,0,842,668,25,0,0,0,0,0,0
1023,1265,1265,108,101,128,0,0,1083,867,103,0,0,0,0,0,0
723,883,883,22,19,22,0,0,798,653,21,0,0,41,43,0,0
658,852,852,20,11,12,0,0,756,584,20,0,0,0,0,0,0
5137,6925,6925,985,956,1563,0,0,2801,1951,422,0,0,0,0,0,0
1910,2387,2387,169,77,160,0,0,1744,1351,139,0,0,0,0,0,0
1608,1965,1965,167,111,169,1,1,1830,1514,158,0,0,0,0,0,0
1061,1305,1305,75,62,79,0,0,1206,979,74,0,0,0,0,0,0
1584,1886,1886,145,88,125,0,0,1777,1491,136,0,0,0,0,0,0
797,969,969,41,29,48,0,0,884,731,41,0,0,0,0,0,0
1256,1538,1538,127,82,119,0,0,1441,1191,122,0,0,0,0,0,0
826,1024,1024,43,36,46,0,0,943,767,43,0,0,0,0,0,0
2006,2368,2368,260,183,275,0,0,2243,1915,247,0,0,0,0,0,0
1806,2200,2200,175,113,168,0,0,2091,1718,169,0,0,0,0,0,0
2674,3200,3200,375,281,382,0,0,2937,2470,320,0,0,0,0,0,0
1840,2250,2250,126,109,134,0,0,1921,1565,111,0,0,389,0,0,0
1108,2154,2154,61,43,47,0,0,1791,893,52,17,17,243,275,5496,60501
807,1012,1012,30,23,27,0,0,930,740,30,0,0,0,0,0,0
1721,2139,2139,134,109,158,1,1,2023,1628,131,0,0,0,0,0,0
1182,1468,1468,83,60,82,0,0,1376,1112,81,0,0,0,0,0,0
1782,2231,2231,234,202,278,1,4,2136,1698,227,0,0,0,0,0,0
12890,18066,18066,2521,2264,4419,8,8,6947,4275,1136,4,5,5742,8594,135835,8664276
1910,2445,2445,124,87,121,0,0,1688,1305,107,0,0,0,0,0,0
10690,14552,14552,1231,1039,1540,0,0,4895,3081,625,0,0,0,0,0,0
7163,12521,12521,497,430,693,0,0,6760,2933,380,58,68,1789,2985,6171,121580
955,1243,1243,41,30,41,1,1,1132,861,40,0,0,0,0,0,0
7598,11463,11463,823,651,964,1,1,5117,3001,515,0,0,0,0,0,0
1203,1615,1615,96,88,112,1,1,1459,1074,94,0,0,0,0,0,0
1737,2276,2276,158,131,199,0,0,1873,1398,148,0,0,0,0,0,0
5150,7518,7518,400,291,385,1,1,3441,1915,264,108,123,1588,2089,9764,132425
4105,5862,5862,322,298,566,0,0,3463,2316,238,0,0,0,0,0,0
4173,5552,5552,498,412,605,0,0,3143,1998,352,0,0,0,0,0,0
4227,5842,5842,263,119,151,0,0,2898,1974,179,190,214,756,930,3236,15145
707,850,850,28,24,30,0,0,772,630,26,0,0,97,101,0,802581
1295,1554,1554,114,97,117,1,1,1468,1216,109,0,0,0,0,0,0
1522,2024,2024,109,51,71,0,0,1482,1085,93,0,0,0,0,0,0
2294,3079,3079,119,92,119,0,0,1737,1189,93,0,0,0,0,0,0
553,649,649,21,20,23,0,0,587,485,20,0,0,69,70,0,1790506
1038,1193,1193,47,41,56,0,0,1126,972,44,0,0,243,258,0,5565140
409,478,478,12,11,12,0,0,423,360,10,0,0,0,0,0,0
420,503,503,14,12,13,0,0,452,368,11,0,0,53,54,0,956096
675,827,827,35,29,35,0,0,781,628,35,0,0,94,95,0,729024
488,612,612,33,31,38,0,0,555,445,32,0,0,89,102,0,41066
2681,3540,3540,234,81,100,0,0,2173,1597,167,0,0,0,0,0,0
1452,1955,1955,97,76,93,0,0,1376,1005,78,0,0,0,0,0,0
2696,2757,2757,100,70,84,0,0,1315,1297,78,0,0,0,0,0,0
4039,4223,4223,132,99,130,0,0,2002,1933,104,0,0,0,0,0,0
2637,2954,2954,306,252,328,0,0,1419,1242,226,100,120,734,1046,5518,35093
1808,2040,2040,165,106,143,1,1,1685,1458,150,0,0,0,0,0,0
1646,1770,1770,94,24,26,0,0,1078,975,81,0,0,0,0,0,0
3201,3628,3628,106,56,73,0,0,1141,974,62,0,0,0,0,0,0
4902,5440,5440,320,277,327,1,1,2815,2276,257,0,0,0,0,0,0
4848,5317,5317,560,328,371,0,0,3469,3154,429,0,0,0,0,0,0
1820,1990,1990,132,78,97,0,0,1745,1615,125,0,0,0,0,0,0
3081,3842,3842,119,60,77,0,0,2314,1693,107,0,0,0,0,0,0
3732,4353,4353,176,103,148,0,0,2443,2033,145,0,0,0,0,0,0
7977,11924,11924,349,295,395,0,0,5704,3274,276,0,0,0,0,0,0
7251,8878,8878,269,215,348,0,0,4105,2896,231,0,0,0,0,0,0
7107,8212,8212,418,285,460,0,0,4165,3493,331,0,0,0,0,0,0
8743,12890,12890,1011,900,1331,0,0,5296,2772,489,309,361,2819,4381,5679,44928
1129,1523,1523,25,18,21,1,1,1088,737,21,0,0,116,132,0,33600
10273,15404,15404,426,285,474,0,0,6182,3324,262,0,0,0,0,0,0
1053,1332,1332,43,38,51,0,0,986,738,40,0,0,106,114,0,10112
1240,1485,1485,25,7,7,0,0,1201,955,23,0,0,0,0,0,0
4061,4767,4767,164,55,68,1,1,2443,2011,127,0,0,0,0,0,0
858,1014,1014,20,14,19,0,0,786,632,18,0,0,0,0,0,0
925,1089,1089,20,3,3,1,1,880,724,19,0,0,0,0,0,0
809,932,932,14,11,12,0,0,745,628,14,0,0,0,0,0,0
2158,2445,2445,75,17,18,0,0,1322,1138,59,0,0,0,0,0,0
1324,1614,1614,52,47,64,0,0,1304,1043,47,0,0,0,0,0,0
762,901,901,7,4,4,0,0,677,550,7,0,0,0,0,0,0
634,726,726,4,3,3,0,0,539,456,4,0,0,0,0,0,0
654,758,758,10,7,8,0,0,590,492,10,0,0,53,54,0,15145
488,563,563,8,5,6,0,0,400,340,8,0,0,16,16,0,115008
969,1148,1148,26,13,17,0,0,888,719,24,0,0,0,0,0,0
